,group,cell_name,sweep_num,input_current,rest_potential,stim_potential,t_first_spike,t_last_spike,f_rate,AP_amp,AP_adaptation,AP_rise_slope,t_hyperpol,v_hyperpol
0,Naive DLS,20200626_DLS_s1c1_0000.abf,0,-400.0,-73.0853500366211,-97.36231231689453,,,0,,,,,
1,Naive DLS,20200626_DLS_s1c1_0000.abf,1,-200.0,-73.20356750488281,-87.39657592773438,,,0,,,,,
2,Naive DLS,20200626_DLS_s1c1_0000.abf,2,0.0,-73.09147644042969,-73.09147644042969,,,0,,,,,
3,Naive DLS,20200626_DLS_s1c1_0000.abf,3,200.0,-73.62603759765625,-50.0420036315918,,,0,,,,,
4,Naive DLS,20200626_DLS_s1c1_0000.abf,4,400.0,-73.51412200927734,-40.881595611572266,11.699999999999989,480.80000000000007,38.37134939245363,22.2285441630447,47.2471338146488,130.615234375,1.6529411764705881,-48.94117647058823
5,Naive DLS,20200626_DLS_s1c1_0000.abf,5,600.0,-73.67333984375,-36.304744720458984,6.599999999999994,498.0,81.4000814000814,24.65425516052401,52.00159314806632,123.04878234863281,1.5384615384615388,-44.53846153846154
6,Naive DLS,20200626_DLS_s1c1_0000.abf,6,800.0,-73.5185317993164,-31.189525604248047,4.799999999999997,495.6,112.06193969030154,25.843037264805336,64.07917609719819,111.89269256591797,1.531481481481481,-40.05555555555556
7,Naive DLS,20200626_DLS_s1c1_0000.abf,7,1000.0,-73.77131652832031,-26.1622371673584,3.6999999999999886,496.5,135.95779220779218,27.51492414023694,68.20457168866724,100.30376434326172,1.5484848484848486,-35.46969696969697
8,Naive DLS,20200626_DLS_s1c1_0000.abf,8,1200.0,-73.69261932373047,-21.58094596862793,2.9000000000000057,499.9,156.94164989939637,28.91760475567582,85.32543923388579,88.54303741455078,1.5675324675324676,-31.272727272727273
9,Naive DLS,20200626_DLS_s1c1_0000.abf,9,1400.0,-74.08809661865234,-17.048200607299805,2.5,498.0,171.5438950554995,30.166340560056867,91.99180264459244,75.36495208740234,1.5940476190476187,-26.773809523809526
10,Naive DLS,20200626_DLS_s1c1_0000.abf,10,1600.0,-73.84391021728516,-12.472589492797852,2.1999999999999886,498.70000000000005,179.2547834843907,31.505583082877465,115.81083204517842,60.3485107421875,1.6011363636363634,-22.113636363636363
11,Naive DLS,20200626_DLS_s1c1_0000.abf,11,1800.0,-73.30116271972656,-7.670525550842285,1.9000000000000057,360.40000000000003,192.4686192468619,31.93683753030291,257.85622839544624,50.534236907958984,0.9524324324324324,-9.675675675675675
12,Naive DLS,20200626_DLS_s1c1_0000.abf,12,2000.0,-73.43450927734375,-3.2465639114379883,1.6999999999999886,206.5,214.84375,35.48808659156305,129.0668684361454,50.80135726928711,0.6900684931506851,-3.267123287671233
13,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,0,-400.0,-88.83543395996094,-148.47763061523438,,,0,,,,,
14,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,1,-200.0,-87.79959869384766,-127.51417541503906,,,0,,,,,
15,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,2,0.0,-87.68855285644531,-87.68855285644531,,,0,,,,,
