,group,cell_name,input_current,f_rate,t_last_spike,R,Tau,sweep,rest_potential
0,Naive DLS,20200626_DLS_s1c1_0000.abf,-400.0,0.0,,69.8815,6.86478,0,-73.5264646089994
1,Naive DLS,20200626_DLS_s1c1_0000.abf,-200.0,0.0,,69.8815,6.86478,1,-73.5264646089994
2,Naive DLS,20200626_DLS_s1c1_0000.abf,0.0,0.0,,69.8815,6.86478,2,-73.5264646089994
3,Naive DLS,20200626_DLS_s1c1_0000.abf,200.0,0.0,,69.8815,6.86478,3,-73.5264646089994
4,Naive DLS,20200626_DLS_s1c1_0000.abf,400.0,38.37134939245363,480.80000000000007,69.8815,6.86478,4,-73.5264646089994
5,Naive DLS,20200626_DLS_s1c1_0000.abf,600.0,81.4000814000814,498.0,69.8815,6.86478,5,-73.5264646089994
6,Naive DLS,20200626_DLS_s1c1_0000.abf,800.0,112.06193969030156,495.6,69.8815,6.86478,6,-73.5264646089994
7,Naive DLS,20200626_DLS_s1c1_0000.abf,1000.0,135.95779220779218,496.5,69.8815,6.86478,7,-73.5264646089994
8,Naive DLS,20200626_DLS_s1c1_0000.abf,1200.0,156.9416498993964,499.9,69.8815,6.86478,8,-73.5264646089994
9,Naive DLS,20200626_DLS_s1c1_0000.abf,1400.0,171.5438950554995,498.0,69.8815,6.86478,9,-73.5264646089994
10,Naive DLS,20200626_DLS_s1c1_0000.abf,1600.0,179.25478348439069,498.7000000000001,69.8815,6.86478,10,-73.5264646089994
11,Naive DLS,20200626_DLS_s1c1_0000.abf,1800.0,373.9445114595898,499.3,69.8815,6.86478,11,-73.5264646089994
12,Naive DLS,20200626_DLS_s1c1_0000.abf,2000.0,586.9346733668341,499.2000000000001,69.8815,6.86478,12,-73.5264646089994
13,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,-400.0,0.0,,190.446,7.80209,0,-88.73892622727614
14,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,-200.0,0.0,,190.446,7.80209,1,-88.73892622727614
15,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,0.0,0.0,,190.446,7.80209,2,-88.73892622727614
16,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,200.0,72.53886010362692,488.80000000000007,190.446,7.80209,3,-88.73892622727614
17,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,400.0,131.12769820455918,498.80000000000007,190.446,7.80209,4,-88.73892622727614
18,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,600.0,169.28657799274484,498.4,190.446,7.80209,5,-88.73892622727614
19,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,800.0,194.74001204577388,499.80000000000007,190.446,7.80209,6,-88.73892622727614
20,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,1000.0,208.75150541951018,499.6,190.446,7.80209,7,-88.73892622727614
21,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,1200.0,227.8294953454189,409.4,190.446,7.80209,8,-88.73892622727614
22,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,1400.0,250.00000000000009,237.1,190.446,7.80209,9,-88.73892622727614
23,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,1600.0,269.5231513476158,145.59999999999997,190.446,7.80209,10,-88.73892622727614
24,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,1800.0,273.22404371584696,110.7,190.446,7.80209,11,-88.73892622727614
25,Naive DLS,20190215_PV_DLS_s2c1_0000.abf,2000.0,297.15762273901805,78.10000000000002,190.446,7.80209,12,-88.73892622727614
26,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,-400.0,0.0,,99.1582,10.0887,0,-70.57193227914664
27,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,-200.0,0.0,,99.1582,10.0887,1,-70.57193227914664
28,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,0.0,0.0,,99.1582,10.0887,2,-70.57193227914664
29,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,200.0,47.51619870410367,482.7000000000001,99.1582,10.0887,3,-70.57193227914664
30,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,400.0,115.75954508529648,498.7000000000001,99.1582,10.0887,4,-70.57193227914664
31,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,600.0,161.55419222903882,493.1,99.1582,10.0887,5,-70.57193227914664
32,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,800.0,184.21052631578945,496.7000000000001,99.1582,10.0887,6,-70.57193227914664
33,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,1000.0,224.92127755285648,224.4,99.1582,10.0887,7,-70.57193227914664
34,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,1200.0,251.29982668977473,117.0,99.1582,10.0887,8,-70.57193227914664
35,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,1400.0,255.27192008879024,91.5,99.1582,10.0887,9,-70.57193227914664
36,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,1600.0,280.5049088359047,72.39999999999998,99.1582,10.0887,10,-70.57193227914664
37,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,1800.0,296.8460111317255,54.89999999999999,99.1582,10.0887,11,-70.57193227914664
38,Naive DLS,20190301_PV_DLS_s2c2_0000.abf,2000.0,309.0507726269314,46.2,99.1582,10.0887,12,-70.57193227914664
39,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,-400.0,0.0,,121.443,5.53963,0,-71.43496704101562
40,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,-200.0,0.0,,121.443,5.53963,1,-71.43496704101562
41,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,0.0,0.0,,121.443,5.53963,2,-71.43496704101562
42,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,200.0,0.0,,121.443,5.53963,3,-71.43496704101562
43,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,400.0,0.0,,121.443,5.53963,4,-71.43496704101562
44,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,600.0,158.66558177379983,494.0,121.443,5.53963,5,-71.43496704101562
45,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,800.0,184.69656992084438,494.7000000000001,121.443,5.53963,6,-71.43496704101562
46,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,1000.0,199.95960412037968,496.7000000000001,121.443,5.53963,7,-71.43496704101562
47,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,1200.0,213.713268032057,338.3,121.443,5.53963,8,-71.43496704101562
48,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,1400.0,227.64227642276427,185.79999999999995,121.443,5.53963,9,-71.43496704101562
49,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,1600.0,258.62068965517244,117.1,121.443,5.53963,10,-71.43496704101562
50,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,1800.0,274.72527472527474,92.0,121.443,5.53963,11,-71.43496704101562
51,Naive DLS,20190301_PV_DLS_s1c1_0000.abf,2000.0,289.0173410404623,70.10000000000001,121.443,5.53963,12,-71.43496704101562
52,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,-400.0,0.0,,59.0802,4.28233,0,-73.99921006422777
53,Naive DLS,20190301_PV_DLS_s2c1_0000.abf,-200.0,0.0,,59.0802,4.28233,1,-73.99921006422777
